-- vertices: 6
(0,3326,16,24,22)
(1,4011,16,24,20)
(2,7672,16,30,31)
(3,7916,24,32,26)
(4,3934,16,24,24)
(5,10479,16,32,20)
(6,6891,16,24,22)
(7,5791,16,16,16)
(8,3447,16,16,16)
(9,12511,16,24,20)
(10,3451,16,16,16)
(11,3311,16,16,16)
(12,3295,16,16,16)
-- vertices: 7
(0,120478,48,96,60)
(1,127198,32,120,69)
(2,190686,32,32,48)
(3,104371,32,48,40)
(4,183548,32,64,52)
(5,412894,32,48,54)
(6,102238,32,48,52)
(7,167646,32,48,44)
(8,101630,32,48,46)
(9,103932,32,128,56)
(10,103805,32,64,44)
(11,560509,32,64,40)
(12,104055,32,48,40)
(13,112469,32,68,62)
(14,112525,48,56,52)
(15,111070,32,72,54)
(16,127575,48,64,52)
(17,190103,32,32,40)
(18,104365,32,64,48)
(19,174558,32,32,40)
(20,189853,32,72,54)
(21,186013,32,108,58)
(22,192733,32,132,62)
(23,174823,32,96,48)
(24,111335,32,48,40)
(25,102253,32,32,40)
(26,127567,32,32,40)
(27,167773,32,88,48)
(28,113483,32,80,48)
(29,560927,32,80,48)
(30,312735,32,48,40)
(31,102262,32,48,50)
(32,298486,32,72,52)
(33,481867,44,136,72)
(34,1269995,56,108,66)
(35,1270351,32,48,48)
(36,190875,32,48,44)
(37,414941,32,48,54)
(38,1256267,48,72,58)
(39,186617,32,96,56)
(40,298919,32,72,44)
(41,401101,32,72,50)
(42,313719,32,72,50)
(43,567671,32,32,32)
(44,104126,32,64,40)
(45,123255,32,48,44)
(46,400857,32,72,58)
(47,312759,32,72,50)
(48,102206,32,48,44)
(49,120414,32,48,52)
(50,202335,32,32,32)
(51,200059,32,64,40)
(52,331599,32,104,44)
(53,330991,32,64,40)
(54,222443,32,48,46)
(55,567647,32,32,32)
(56,182879,32,48,40)
(57,169631,32,32,32)
(58,659039,32,48,44)
(59,410847,32,48,40)
(60,167711,32,48,40)
(61,174303,32,32,32)
(62,101751,32,32,32)
(63,396511,32,48,40)
(64,298223,32,32,32)
(65,104171,32,32,32)
(66,173279,32,32,32)
(67,101743,32,32,32)
(68,101615,32,32,32)
(69,101599,32,32,32)
-- vertices: 8
(0,7510520,88,256,166)
(1,19111408,64,180,184)
(2,6739377,112,128,132)
(3,6740393,64,96,96)
(4,8000953,96,128,116)
(5,6462968,64,304,153)
(6,6475132,96,368,136)
(7,6411644,64,96,116)
(8,69373436,64,256,112)
(9,6393718,64,96,106)
(10,18995565,64,64,96)
(11,20125169,96,168,154)
(12,20140275,96,192,146)
(13,19617907,64,180,169)
(14,11357278,96,96,120)
(15,6411934,96,192,128)
(16,12324062,64,120,138)
(17,6418654,64,240,145)
(18,6418797,64,64,96)
(19,12127482,64,64,96)
(20,69311341,64,192,104)
(21,10964186,64,144,104)
(22,69325181,64,192,104)
(23,20126170,64,64,104)
(24,19111826,64,144,142)
(25,170989214,136,288,166)
(26,170990174,96,96,130)
(27,170957470,128,192,150)
(28,204540766,64,96,116)
(29,104368318,64,180,158)
(30,104400062,96,192,128)
(31,20584859,64,64,96)
(32,93882590,108,220,182)
(33,210028766,120,192,170)
(34,20093843,64,144,130)
(35,20126547,64,192,124)
(36,210799326,96,168,136)
(37,19127059,64,96,138)
(38,160959710,104,294,206)
(39,6419230,64,96,118)
(40,20126603,64,96,108)
(41,35765022,64,144,132)
(42,19118979,64,216,154)
(43,36778783,64,360,132)
(44,7877407,64,144,108)
(45,7038046,96,312,132)
(46,7935582,112,384,148)
(47,7947390,64,144,108)
(48,7750878,88,240,158)
(49,12094716,64,128,124)
(50,11636460,64,96,128)
(51,11636216,64,160,130)
(52,12703097,64,192,104)
(53,6396410,64,256,120)
(54,13944030,64,64,104)
(55,26774750,64,96,128)
(56,10610910,64,96,104)
(57,6396654,64,160,104)
(58,37850494,64,304,112)
(59,12707181,64,96,96)
(60,14191866,64,128,124)
(61,13733610,64,96,116)
(62,69311198,64,192,112)
(63,21091693,64,96,108)
(64,26316494,64,96,120)
(65,22058477,64,144,108)
(66,50437485,64,96,108)
(67,6462174,64,96,88)
(68,10833118,64,64,88)
(69,6886654,64,96,88)
(70,10816766,64,128,88)
(71,25283806,64,144,114)
(72,6410494,64,288,114)
(73,25267454,64,96,92)
(74,6411870,64,96,112)
(75,10609886,64,96,104)
(76,6393694,64,96,108)
(77,69310174,64,96,88)
(78,6395757,64,96,88)
(79,10800350,64,64,88)
(80,10587870,64,96,92)
(81,10587390,64,96,92)
(82,6393086,64,96,94)
(83,6465020,64,240,112)
(84,19174901,64,144,116)
(85,7459635,96,96,116)
(86,6478445,96,256,120)
(87,35829997,64,96,96)
(88,10672733,64,192,122)
(89,19060973,64,96,100)
(90,35838077,64,296,104)
(91,7459258,112,288,152)
(92,20026868,96,192,146)
(93,6470121,96,160,120)
(94,10672377,64,192,124)
(95,69376505,64,360,140)
(96,6482285,64,240,138)
(97,6484205,96,176,120)
(98,10676461,64,96,126)
(99,69376749,64,412,124)
(100,69380589,64,360,130)
(101,36739453,64,96,104)
(102,10678493,64,264,138)
(103,69390589,64,428,128)
(104,6470554,64,280,124)
(105,7444402,64,288,120)
(106,6927794,96,128,140)
(107,7903674,88,336,172)
(108,7935418,96,304,144)
(109,20093404,64,64,112)
(110,19111764,64,128,156)
(111,50568561,64,144,150)
(112,19111820,64,96,116)
(113,7909811,88,160,144)
(114,6470492,64,488,132)
(115,6482718,64,128,116)
(116,7942515,112,160,132)
(117,7688563,96,144,116)
(118,8132019,88,160,144)
(119,7950651,64,128,96)
(120,6484765,64,128,104)
(121,13669881,64,208,112)
(122,12899677,64,64,80)
(123,13153629,64,96,96)
(124,13161597,64,96,80)
(125,12760537,64,296,128)
(126,21143017,64,240,136)
(127,25271785,64,96,96)
(128,25337305,64,240,132)
(129,6461945,64,160,112)
(130,21157213,64,96,88)
(131,25285981,64,96,104)
(132,6395827,64,96,80)
(133,12887533,64,64,80)
(134,21272045,64,264,108)
(135,25464301,64,128,80)
(136,12768861,64,240,104)
(137,21157101,64,288,128)
(138,21149133,64,384,120)
(139,25285869,64,64,96)
(140,25277901,64,192,104)
(141,25351389,64,288,124)
(142,25337549,64,216,116)
(143,26252765,64,144,104)
(144,25730285,64,64,80)
(145,50503005,64,144,120)
(146,6460921,64,160,104)
(147,6461165,64,96,104)
(148,35755389,64,128,88)
(149,35820797,64,128,88)
(150,10652925,64,128,88)
(151,6672166,88,344,160)
(152,20518261,64,180,162)
(153,51481974,64,96,112)
(154,6470539,64,160,124)
(155,10803611,64,64,80)
(156,6465459,64,160,96)
(157,10790807,64,144,100)
(158,6609679,64,64,88)
(159,19056061,64,272,104)
(160,69507983,64,144,100)
(161,19187127,64,144,110)
