(86000,619892031923,256,576,716)
(86001,2269109128099,384,1024,520)
(86002,2269125388595,256,864,668)
(86003,2269108611491,256,384,692)
(86004,1185692397199,256,1296,600)
(86005,2269190392123,256,1056,620)
(86006,2269256993083,256,384,644)
(86007,2269319891387,256,1552,676)
(86008,2285204416751,256,2080,600)
(86009,421312141691,256,2160,660)
(86010,345145413347,256,384,480)
(86011,344995466467,256,864,512)
(86012,345174772979,256,640,536)
(86013,345112841459,256,576,552)
(86014,619891247523,256,512,560)
(86015,619958324643,256,384,608)
(86016,2269159457715,256,960,480)
(86017,2269125910963,256,768,656)
(86018,627374657971,256,960,720)
(86019,345146212603,256,256,320)
(86020,619959101923,256,384,536)
(86021,1177261545787,256,2848,708)
(86022,2269190914491,256,1152,592)
(86023,2269290545595,256,1120,624)
(86024,2302409806267,256,2112,672)
(86025,1202997811515,256,1152,540)
(86026,2302538783163,256,3168,744)
(86027,416949868795,256,960,432)
(86028,413940360667,256,384,368)
(86029,1177102257595,256,768,456)
(86030,413940368635,256,384,368)
(86031,208730738923,448,1056,616)
(86032,207052653863,448,1808,768)
(86033,207169570599,448,1512,688)
(86034,207019623719,448,1368,688)
(86035,207053424423,448,1904,616)
(86036,207182447919,448,1384,720)
(86037,207070430511,448,1408,696)
(86038,207170061615,448,1440,720)
(86039,207170832175,384,928,536)
(86040,207120516399,384,1264,616)
(86041,207137285423,384,1136,536)
(86042,207183415663,384,1360,576)
(86043,240813166827,448,1056,660)
(86044,8865644431595,256,768,480)
(86045,619486692663,352,1368,720)
(86046,619387061559,448,1344,660)
(86047,210941052335,384,1152,580)
(86048,240809231663,384,1024,624)
(86049,240859547439,256,1856,648)
(86050,8865757349679,256,2016,580)
(86051,240858776879,256,1280,756)
(86052,4467659982127,256,2224,804)
(86053,240925631791,256,2592,596)
(86054,8865657201967,256,2684,708)
(86055,2268733704559,256,2816,636)
(86056,2268766734703,256,3296,756)
(86057,632074404959,448,1056,688)
(86058,640597230687,448,1416,768)
(86059,640696861791,448,1088,616)
(86060,670594909279,448,1480,688)
(86061,207657128171,448,1120,616)
(86062,208722481387,448,1416,688)
(86063,4501415549163,256,3416,640)
(86064,344563402987,256,512,416)
(86065,208734867691,448,704,600)
(86066,344496357611,448,640,600)
(86067,207124451563,256,384,432)
(86068,240809038059,256,992,576)
(86069,215172403435,256,768,576)
(86070,8865769216235,256,768,440)
(86071,8865760768235,256,1952,716)
(86072,4501407101163,256,3504,780)
(86073,207057469675,256,576,464)
(86074,4467730772203,256,1152,632)
(86075,207661322459,448,960,600)
(86076,208735064271,384,896,568)
(86077,619374330063,352,1152,672)
(86078,207711642075,256,384,416)
(86079,346219628655,448,768,600)
(86080,344609022063,352,880,672)
(86081,344622121199,256,384,416)
(86082,358802850911,448,1056,688)
(86083,367325676639,448,1416,768)
(86084,367425307743,448,1088,616)
(86085,397323355231,448,1480,688)
(86086,207673697895,448,672,688)
(86087,207673666151,448,848,768)
(86088,207706696295,448,672,616)
(86089,207671569063,448,672,688)
(86090,373767341151,352,1224,672)
(86091,373750826079,384,576,568)
(86092,373817427039,256,384,416)
(86093,399503606879,448,1296,600)
(86094,373867742815,448,992,600)
(86095,399504377439,352,1224,672)
(86096,399470830687,384,928,568)
(86097,399570461791,256,384,416)
(86098,207706704431,448,768,600)
(86099,207704640047,352,912,672)
(86100,207705162415,384,832,568)
(86101,207707259503,256,576,416)
(86102,210928469807,256,384,400)
(86103,210878154031,256,1376,676)
(86104,210811553071,256,1664,780)
(86105,210927953199,256,1472,636)
(86106,8865703332207,256,3536,648)
(86107,8865819478383,256,2976,748)
(86108,207023818839,448,1288,768)
(86109,207023818895,448,896,616)
(86110,207023817879,448,1184,688)
(86111,207082783927,448,1088,600)
(86112,207082784943,352,1568,672)
(86113,207081620631,384,384,568)
(86114,207081621647,256,384,416)
(86115,357192238203,352,880,576)
(86116,365814695035,384,512,464)
(86117,345095366735,352,640,576)
(86118,345145428559,384,512,464)
(86119,619921836215,256,720,620)
(86120,619988437175,384,768,520)
(86121,623245297079,256,768,500)
(86122,382861640939,256,384,504)
(86123,357124473947,256,816,620)
(86124,387156083947,256,256,400)
(86125,357225006315,256,384,520)
(86126,357107958875,256,2304,676)
(86127,382928495851,256,384,368)
(86128,382860739675,384,672,520)
(86129,387105637467,256,960,560)
(86130,357174559835,256,576,440)
(86131,350782440539,256,1008,580)
(86132,1177110882703,256,864,610)
(86133,395746281195,256,256,384)
(86134,395745510635,256,384,456)
(86135,387155953243,256,640,480)
(86136,382860993627,256,1728,620)
(86137,357191328859,256,2736,628)
(86138,382927594587,256,1248,500)
(86139,1169777822383,256,512,480)
(86140,1169779370159,256,1728,620)
(86141,1169777305775,256,1248,628)
(86142,1169779401903,256,1056,500)
(86143,4471418586543,256,3864,700)
(86144,4471534986671,256,2352,590)
(86145,2272327932079,256,4848,620)
(86146,4501465811311,256,1536,648)
(86147,2272327805103,256,4428,648)
(86148,8866177110235,384,1152,580)
(86149,8867250852047,256,1536,676)
(86150,352615549147,256,384,400)
(86151,4469341384911,256,2152,780)
(86152,8866294411739,256,1088,636)
(86153,4501465870811,256,3056,806)
(86154,346173821147,448,1376,696)
(86155,346174015695,384,832,536)
(86156,621051728079,256,1224,616)
(86157,621051791567,256,864,488)
(86158,8867255044303,256,1664,648)
(86159,4501419684047,256,2688,840)
(86160,4468313960923,256,1320,708)
(86161,8882274709979,256,1440,678)
(86162,8882336641499,256,1152,590)
(86163,413946662671,256,256,384)
(86164,413996985167,256,704,416)
(86165,1185700793519,256,1152,500)
(86166,346161434843,448,1384,720)
(86167,346169823439,384,1024,616)
(86168,346106970319,448,1504,720)
(86169,346224140763,384,928,536)
(86170,621047599311,256,1088,568)
(86171,8867254980815,256,1952,756)
(86172,627489263823,384,896,624)
(86173,8867371380943,256,2096,804)
(86174,8866306087131,256,864,580)
(86175,4501419743451,256,1680,724)
(86176,345146401243,256,256,320)
(86177,2269233029595,256,864,596)
(86178,2285338112475,256,2112,812)
(86179,346169692379,384,768,536)
(86180,8866181239003,256,1344,696)
(86181,2269294961115,256,1392,660)
(86182,345096081627,256,768,512)
(86183,621039341775,256,1088,600)
(86184,620984746191,256,1424,584)
(86185,352611356891,256,768,576)
(86186,8867379638479,256,1664,720)
(86187,8866231558619,256,832,552)
